,origin,destination,count
16609,60750176023.,60750203002.,1
16610,60750176023.,60750203003.,1
16640,60750176023.,60750228032.,1
16638,60750176023.,60750228022.,1
16637,60750176023.,60750228012.,1
16635,60750176023.,60750227042.,1
16633,60750176023.,60750226001.,1
16632,60750176023.,60750218004.,1
16631,60750176023.,60750218002.,1
16630,60750176023.,60750218001.,1
16629,60750176023.,60750217003.,1
16628,60750176023.,60750215004.,1
16627,60750176023.,60750215003.,1
16625,60750176023.,60750214003.,1
16624,60750176023.,60750212001.,1
16623,60750176023.,60750211004.,1
16622,60750176023.,60750210001.,1
16621,60750176023.,60750209004.,1
16618,60750176023.,60750208021.,1
16616,60750176023.,60750208012.,1
16615,60750176023.,60750207012.,1
16614,60750176023.,60750207011.,1
16613,60750176023.,60750206012.,1
16612,60750176023.,60750205002.,1
16611,60750176023.,60750205001.,1
16559,60750176023.,60750152021.,1
16556,60750176023.,60750135001.,1
16466,60750176022.,60750312022.,1
16479,60750176022.,60750607021.,1
16504,60750176023.,60750107022.,1
16503,60750176023.,60750107021.,1
16500,60750176023.,60750106003.,1
16493,60750176022.,60759803001.,1
16492,60750176022.,60750615083.,1
16491,60750176022.,60750615061.,1
16489,60750176022.,60750615031.,1
16488,60750176022.,60750615022.,1
16485,60750176022.,60750614021.,1
16484,60750176022.,60750611012.,1
16482,60750176022.,60750610003.,1
16478,60750176022.,60750478022.,1
16555,60750176023.,60750134012.,1
16477,60750176022.,60750477021.,1
16476,60750176022.,60750477011.,1
16475,60750176022.,60750452021.,1
16474,60750176022.,60750452013.,1
16473,60750176022.,60750451001.,1
16472,60750176022.,60750426011.,1
16471,60750176022.,60750354001.,1
16470,60750176022.,60750352023.,1
16469,60750176022.,60750329023.,1
16468,60750176022.,60750328021.,1
16467,60750176022.,60750327002.,1
16505,60750176023.,60750108001.,1
16507,60750176023.,60750109011.,1
16508,60750176023.,60750109021.,1
16509,60750176023.,60750109022.,1
16554,60750176023.,60750131011.,1
16553,60750176023.,60750130012.,1
16552,60750176023.,60750129023.,1
16551,60750176023.,60750129022.,1
16550,60750176023.,60750127003.,1
16549,60750176023.,60750126012.,1
16548,60750176023.,60750125041.,1
16547,60750176023.,60750125033.,1
16545,60750176023.,60750125031.,1
16539,60750176023.,60750124041.,1
16536,60750176023.,60750123022.,1
16532,60750176023.,60750122041.,1
16529,60750176023.,60750122021.,1
16526,60750176023.,60750120022.,1
16524,60750176023.,60750120012.,1
16522,60750176023.,60750119023.,1
16519,60750176023.,60750119012.,1
16518,60750176023.,60750119011.,1
16517,60750176023.,60750117004.,1
16514,60750176023.,60750113002.,1
16513,60750176023.,60750112003.,1
16511,60750176023.,60750111011.,1
16510,60750176023.,60750110011.,1
16303,60750176021.,60750201023.,1
16301,60750176021.,60750180002.,1
16300,60750176021.,60750179031.,1
16104,60750171021.,60750107012.,1
16115,60750171021.,60750164002.,1
16114,60750171021.,60750162002.,1
16113,60750171021.,60750161022.,1
16112,60750171021.,60750159004.,1
16111,60750171021.,60750158021.,1
16110,60750171021.,60750157021.,1
16109,60750171021.,60750155001.,1
16108,60750171021.,60750154011.,1
16107,60750171021.,60750151001.,1
16106,60750171021.,60750123023.,1
16105,60750171021.,60750120011.,1
16102,60750171013.,60759803001.,1
16086,60750171013.,60750176042.,1
16101,60750171013.,60750264022.,1
16100,60750171013.,60750260013.,1
16099,60750171013.,60750228022.,1
16097,60750171013.,60750206012.,1
16095,60750171013.,60750205001.,1
16093,60750171013.,60750203001.,1
16092,60750171013.,60750202012.,1
16091,60750171013.,60750201023.,1
16090,60750171013.,60750201012.,1
16089,60750171013.,60750201011.,1
16088,60750171013.,60750178043.,1
16116,60750171021.,60750166011.,1
16119,60750171021.,60750167001.,1
16120,60750171021.,60750167004.,1
16121,60750171021.,60750168011.,1
16153,60750171021.,60750301021.,1
16152,60750171021.,60750301014.,1
16151,60750171021.,60750301012.,1
16149,60750171021.,60750252002.,1
16148,60750171021.,60750229012.,1
16145,60750171021.,60750210003.,1
16144,60750171021.,60750208022.,1
16143,60750171021.,60750207022.,1
16141,60750171021.,60750205002.,1
16137,60750171021.,60750203002.,1
16136,60750171021.,60750203001.,1
16135,60750171021.,60750201021.,1
16134,60750171021.,60750178041.,1
16133,60750171021.,60750178031.,1
16130,60750171021.,60750171012.,1
16129,60750171021.,60750171011.,1
16128,60750171021.,60750170003.,1
16127,60750171021.,60750170002.,1
16126,60750171021.,60750169003.,1
16125,60750171021.,60750169001.,1
16124,60750171021.,60750168021.,1
16123,60750171021.,60750168013.,1
16122,60750171021.,60750168012.,1
16087,60750171013.,60750177002.,1
16085,60750171013.,60750171021.,1
16155,60750171021.,60750301023.,1
16035,60750171012.,60750167002.,1
16047,60750171012.,60750201022.,1
16046,60750171012.,60750179031.,1
16045,60750171012.,60750178032.,1
16044,60750171012.,60750177002.,1
16043,60750171012.,60750177001.,1
16042,60750171012.,60750176021.,1
16041,60750171012.,60750171023.,1
16040,60750171012.,60750171021.,1
16038,60750171012.,60750169001.,1
16037,60750171012.,60750168021.,1
16036,60750171012.,60750167004.,1
16034,60750171012.,60750166011.,1
16082,60750171013.,60750169003.,1
16032,60750171012.,60750153002.,1
16031,60750171012.,60750151003.,1
16030,60750171012.,60750135001.,1
16029,60750171012.,60750128013.,1
16028,60750171012.,60750124061.,1
16026,60750171011.,60750615012.,1
16025,60750171011.,60750615011.,1
16023,60750171011.,60750607033.,1
16022,60750171011.,60750477011.,1
16021,60750171011.,60750401002.,1
16020,60750171011.,60750330021.,1
16049,60750171012.,60750202021.,1
16050,60750171012.,60750203001.,1
16051,60750171012.,60750203003.,1
16053,60750171012.,60750205002.,1
16080,60750171013.,60750168021.,1
16079,60750171013.,60750167004.,1
16078,60750171013.,60750167003.,1
16077,60750171013.,60750166012.,1
16076,60750171013.,60750166011.,1
16075,60750171013.,60750165002.,1
16074,60750171013.,60750164003.,1
16072,60750171013.,60750157011.,1
16071,60750171013.,60750155001.,1
16069,60750171013.,60750122022.,1
16068,60750171013.,60750117003.,1
16067,60750171013.,60750103002.,1
16065,60750171012.,60750615041.,1
16064,60750171012.,60750604002.,1
16063,60750171012.,60750401002.,1
16062,60750171012.,60750326011.,1
16061,60750171012.,60750308003.,1
16060,60750171012.,60750303014.,1
16059,60750171012.,60750256004.,1
16058,60750171012.,60750253002.,1
16057,60750171012.,60750251001.,1
16056,60750171012.,60750229011.,1
16055,60750171012.,60750209004.,1
16154,60750171021.,60750301022.,1
16156,60750171021.,60750302022.,1
16299,60750176021.,60750178044.,1
16246,60750171023.,60750305001.,1
16259,60750176021.,60750105001.,1
16258,60750176021.,60750103001.,1
16257,60750176021.,60750101021.,1
16255,60750171023.,60750615041.,1
16254,60750171023.,60750615022.,1
16252,60750171023.,60750601002.,1
16251,60750171023.,60750452013.,1
16250,60750171023.,60750428002.,1
16249,60750171023.,60750401002.,1
16248,60750171023.,60750354003.,1
16247,60750171023.,60750311004.,1
16244,60750171023.,60750302011.,1
16227,60750171023.,60750178043.,1
16242,60750171023.,60750301012.,1
16241,60750171023.,60750301011.,1
16239,60750171023.,60750251001.,1
16238,60750171023.,60750209002.,1
16237,60750171023.,60750208013.,1
16236,60750171023.,60750208011.,1
16235,60750171023.,60750207022.,1
16233,60750171023.,60750206012.,1
16231,60750171023.,60750203001.,1
16230,60750171023.,60750202021.,1
16229,60750171023.,60750202012.,1
16260,60750176021.,60750106001.,1
16261,60750176021.,60750107021.,1
16262,60750176021.,60750108003.,1
16263,60750176021.,60750109021.,1
16296,60750176021.,60750178012.,1
16294,60750176021.,60750176043.,1
16292,60750176021.,60750176041.,1
16291,60750176021.,60750176032.,1
16289,60750176021.,60750176023.,1
16286,60750176021.,60750168022.,1
16284,60750176021.,60750154011.,1
16283,60750176021.,60750151001.,1
16282,60750176021.,60750129022.,1
16281,60750176021.,60750126022.,1
16280,60750176021.,60750125032.,1
16279,60750176021.,60750124053.,1
16278,60750176021.,60750124052.,1
16277,60750176021.,60750124042.,1
16275,60750176021.,60750123013.,1
16273,60750176021.,60750122022.,1
16271,60750176021.,60750120011.,1
16270,60750176021.,60750117003.,1
16268,60750176021.,60750112003.,1
16267,60750176021.,60750112002.,1
16266,60750176021.,60750111013.,1
16265,60750176021.,60750111011.,1
16264,60750176021.,60750109022.,1
16228,60750171023.,60750201022.,1
16226,60750171023.,60750178032.,1
16157,60750171021.,60750302023.,1
16173,60750171022.,60750169001.,1
16186,60750171022.,60750610002.,1
16185,60750171022.,60750302022.,1
16184,60750171022.,60750258002.,1
16183,60750171022.,60750210001.,1
16182,60750171022.,60750209004.,1
16179,60750171022.,60750203001.,1
16178,60750171022.,60750201023.,1
16177,60750171022.,60750178044.,1
16176,60750171022.,60750178032.,1
16175,60750171022.,60750171012.,1
16174,60750171022.,60750169002.,1
16171,60750171022.,60750167001.,1
16225,60750171023.,60750178031.,1
16169,60750171022.,60750165004.,1
16168,60750171022.,60750165002.,1
16167,60750171022.,60750154021.,1
16166,60750171022.,60750134021.,1
16165,60750171022.,60750129022.,1
16164,60750171022.,60750128021.,1
16162,60750171021.,60759803001.,1
16161,60750171021.,60750610003.,1
16160,60750171021.,60750610001.,1
16159,60750171021.,60750477012.,1
16158,60750171021.,60750326013.,1
16187,60750171022.,60750615022.,1
16189,60750171023.,60750108003.,1
16190,60750171023.,60750110022.,1
16191,60750171023.,60750117002.,1
16224,60750171023.,60750177002.,1
16223,60750171023.,60750177001.,1
16221,60750171023.,60750171021.,1
16219,60750171023.,60750169001.,1
